frame,time_s,champion,team,conf,x,y
5550,92.59,Rumble,KT,0.656,0.4044,0.6011
5550,92.59,Ambessa,T1,0.590,0.4058,0.9418
5580,93.09,Rumble,KT,0.645,0.4043,0.6011
5580,93.09,Ambessa,T1,0.586,0.4058,0.9418
5610,93.59,Rumble,KT,0.653,0.4044,0.6011
5610,93.59,Ambessa,T1,0.593,0.4058,0.9419
5640,94.09,Rumble,KT,0.657,0.4044,0.6011
5640,94.09,Ambessa,T1,0.599,0.4058,0.9419
5670,94.59,Rumble,KT,0.647,0.4045,0.6011
5670,94.59,Ambessa,T1,0.603,0.4058,0.9419
5700,95.09,Rumble,KT,0.651,0.4046,0.6011
5700,95.09,Ambessa,T1,0.457,0.4059,0.9420
5730,95.60,Rumble,KT,0.657,0.4044,0.6010
5730,95.60,Ambessa,T1,0.460,0.4058,0.9418
5760,96.10,Rumble,KT,0.651,0.4046,0.6009
5760,96.10,Ambessa,T1,0.417,0.4059,0.9415
5790,96.60,Rumble,KT,0.641,0.4040,0.6007
5790,96.60,Ambessa,T1,0.367,0.4059,0.9412
5820,97.10,Rumble,KT,0.635,0.4044,0.6008
5820,97.10,Ambessa,T1,0.375,0.4060,0.9414
5850,97.60,Ambessa,T1,0.573,0.4059,0.9417
5880,98.10,Ambessa,T1,0.597,0.4063,0.9419
5910,98.60,Ambessa,T1,0.579,0.4058,0.9417
5910,98.60,Rumble,KT,0.351,0.4047,0.6010
5940,99.10,Ambessa,T1,0.574,0.4060,0.9418
5970,99.60,Ambessa,T1,0.602,0.4059,0.9421
5970,99.60,Rumble,KT,0.371,0.4047,0.6012
6000,100.10,Ambessa,T1,0.597,0.4059,0.9421
6000,100.10,Rumble,KT,0.365,0.4047,0.6011
6030,100.60,Ambessa,T1,0.590,0.4059,0.9420
6030,100.60,Rumble,KT,0.362,0.4047,0.6011
6060,101.10,Ambessa,T1,0.606,0.4059,0.9420
6060,101.10,Rumble,KT,0.368,0.4048,0.6012
6090,101.60,Ambessa,T1,0.587,0.4059,0.9421
6090,101.60,Rumble,KT,0.367,0.4048,0.6012
6120,102.10,Ambessa,T1,0.690,0.4059,0.9422
6150,102.60,Ambessa,T1,0.678,0.4059,0.9421
6180,103.10,Ambessa,T1,0.676,0.4059,0.9421
6210,103.60,Ambessa,T1,0.653,0.4061,0.9419
6240,104.10,Ambessa,T1,0.641,0.4089,0.9417
6270,104.60,Ambessa,T1,0.631,0.4088,0.9417
6300,105.11,Ambessa,T1,0.639,0.4090,0.9418
6330,105.61,Ambessa,T1,0.660,0.4092,0.9418
6360,106.11,Ambessa,T1,0.640,0.4092,0.9418
6390,106.61,Ambessa,T1,0.622,0.4092,0.9417
6420,107.11,Ambessa,T1,0.607,0.4092,0.9417
6450,107.61,Ambessa,T1,0.641,0.4092,0.9419
6450,107.61,Rumble,KT,0.356,0.4089,0.6007
6480,108.11,Ambessa,T1,0.706,0.4093,0.9422
6510,108.61,Ambessa,T1,0.621,0.4094,0.9415
6540,109.11,Ambessa,T1,0.697,0.4059,0.9418
6570,109.61,Ambessa,T1,0.698,0.4059,0.9418
6600,110.11,Ambessa,T1,0.682,0.4059,0.9419
